Date,Close,High,Low,Open,Volume
2024-10-11,572.8382568359375,573.1985549984032,568.9698837282951,569.434463498336,526000
2024-10-14,579.19091796875,580.2528313140272,572.4686303385545,574.5734756897491,562300
2024-10-15,573.6253662109375,582.7464789746467,572.4117178238621,580.7364244697508,849600
2024-10-16,581.0492553710938,581.219913803805,571.3687150922309,571.72901329571,549200
2024-10-17,578.0056762695312,582.6136273575692,575.7490961986128,581.0492295256684,617500
2024-10-18,580.0821533203125,581.5612509920971,576.9343181993482,579.6839502967376,864100
2024-10-21,582.7368774414062,586.8518345004281,579.6554194488206,583.7134903673918,1017500
2024-10-22,547.0584716796875,576.7922226396164,544.2330295221532,575.4268970451811,2259200
2024-10-23,541.4833374023438,551.9887565737035,541.3885464441115,547.0963741561757,1402200
2024-10-24,534.9507446289062,544.1666489250193,534.9222726165378,541.132585639529,1102800
2024-10-25,533.1301879882812,540.4213946741985,532.0018978709309,537.3115222519647,1077600
2024-10-28,526.37939453125,533.9550314557008,525.744156298906,533.8033543666078,1278700
2024-10-29,518.4435424804688,524.7013084693667,518.0737535622734,524.1323890867723,1041700
2024-10-30,517.6280517578125,522.6721683535151,515.0301549183935,518.5382878664113,1005200
2024-10-31,517.7323608398438,523.0703990866709,514.5276397579852,518.6710111332409,1245300
2024-11-01,517.068603515625,520.8422435531952,516.3764791946058,519.5811999846894,792600
2024-11-04,514.935302734375,520.3492081390613,512.3848013832613,517.4005038111361,827600
2024-11-05,518.3960571289062,518.7942601187307,513.8923876796839,516.7368104897191,610100
2024-11-06,523.2030639648438,532.2862690456933,511.9960327480785,532.2862690456933,1751300
2024-11-07,523.22216796875,528.1145501881523,521.1646602810171,526.218268140798,818200
2024-11-08,535.282470703125,537.4157879135018,525.95273797364,526.6638437104323,1165700
2024-11-11,540.9902954101562,546.2714476018065,540.2507176697768,540.6489206769404,1171400
2024-11-12,536.6099243164062,546.5369332366058,535.5100483018481,544.536369529183,1133500
2024-11-13,528.806640625,535.6996439424249,527.4792779991371,534.7515029796949,1118300
2024-11-14,511.0384521484375,532.2388686889291,506.1081079164812,532.2388686889291,1972700
2024-11-15,507.09417724609375,514.4043060221013,503.8609846026838,509.9765045414279,1757100
2024-11-18,503.4249572753906,510.0808676259311,501.3200542003116,508.5828465388199,1298400
2024-11-19,505.6056823730469,511.35141455749937,503.6620048837562,509.2275879621807,935700
2024-11-20,506.9993896484375,507.4734601215425,501.7562003082608,506.4779237020082,994300
2024-11-21,513.9019775390625,516.4334981250349,506.0418506201205,507.3882526764294,1321700
2024-11-22,514.1010131835938,517.685014135951,511.9203003390598,516.7368730844199,1311000
2024-11-25,494.8253173828125,506.4589680308202,488.1978210921288,505.3401686019862,3613500
2024-11-26,494.40814208984375,496.8827762414207,492.4549739206778,492.4549739206778,1345800
2024-11-27,498.485107421875,502.5052158145524,496.03888755277177,496.38969507676,890400
2024-11-29,501.9553527832031,502.0217296043969,497.3853636204528,500.4004453650198,658200
2024-12-02,496.45025634765625,502.6040783629605,495.4579673970829,501.1348035676604,1115600
2024-12-03,493.2635498046875,497.5569462730068,492.54798372663424,496.2594004273703,1188400
2024-12-04,493.7406005859375,495.9636422039374,489.5807903713938,492.4335045241791,1542800
2024-12-05,493.7215270996094,496.66013496558537,490.4108691047128,493.6642841387816,1113400
2024-12-06,489.4758911132813,493.6833944004933,486.20334649945073,492.0423324357732,1284700
2024-12-09,486.5945129394531,492.65294947648624,485.2015232587368,487.7203299829417,1170500
2024-12-10,489.3900146484375,490.9833256730682,484.7722311505142,485.7835623359519,1178900
2024-12-11,481.0894165039063,490.40132649548485,480.2021214808825,490.2104972121319,1308000
2024-12-12,473.7810668945313,478.0935638412605,466.272398031709,477.0440610835848,1862800
2024-12-13,471.939697265625,476.2998870962243,469.5830983720075,472.8174711742933,990100
2024-12-16,469.0774536132813,472.0828255937625,467.6463213257701,472.0828255937625,1483700
2024-12-17,468.0851745605469,470.36545922110975,465.3660466188665,466.6063495706344,1354500
2024-12-18,460.767333984375,467.7321658402592,460.2616684289912,467.0261499257692,1424400
2024-12-19,457.6379089355469,461.7786478624876,455.395796041022,457.96229540081407,1250400
2024-12-20,466.5681762695313,466.5681762695313,455.8346845903487,457.4375748096159,3973500
2024-12-23,464.1543273925781,466.4059905313183,459.7082731903297,465.0511725686281,1053900
2024-12-24,465.7190551757813,466.2915138913566,461.7882166407356,463.7440857094532,375900
2024-12-26,467.484130859375,470.8138892471514,463.9444427936005,465.5950258055335,662100
2024-12-27,466.5205078125,470.7471115459636,464.0494228711564,465.9575992690861,820600
2024-12-30,461.1776123046875,464.2116058172713,459.7274087108864,463.68686894961246,887600
2024-12-31,463.629638671875,464.1925472358534,459.8705287013067,462.14126335643255,731900
2025-01-02,460.1090393066406,467.236079400528,459.31715890352496,463.6296271311188,953700
2025-01-03,459.69873046875,461.70232128085416,458.8305068129563,459.31710105607726,817200
2025-01-06,444.6050720214844,457.9623059448766,444.47148570635,456.76969577314514,1698600
2025-01-07,442.6587219238281,451.6844166236109,441.6855625103358,444.33792635475686,1276600
2025-01-08,447.3242492675781,447.67725723574273,440.0636230731399,442.2198716784186,998700
2025-01-10,446.5609130859375,449.9383930333392,444.3474508743545,446.5132203286392,1127400
2025-01-13,460.9772338867188,462.5610237091399,447.2765129169524,447.4673421934695,1435200
2025-01-14,462.217529296875,462.9235743153064,456.0255066237874,462.73274504190135,1162000
2025-01-15,461.75006103515625,465.3660634165588,458.3153377386038,465.3660634165588,882200
2025-01-16,464.5073547363281,464.64094105668073,459.3934560960817,459.6796709018938,956400
2025-01-17,467.8084716796875,469.45902541405,461.95990712433314,465.1561079972194,1337600
2025-01-21,483.0452880859375,486.1555955943806,472.0064814202757,472.2736249323468,1615900
2025-01-22,476.4143981933594,482.3202064794284,472.44538778822266,480.1353363492809,1324800
2025-01-23,474.4489440917969,482.7685937495301,471.3004649095792,480.40244470535424,913000
2025-01-24,474.14361572265625,474.45848110200126,471.8919817744866,472.2736111925627,759400
2025-01-27,480.5646362304688,483.8276012191869,473.9718839817896,477.129913255667,1948600
2025-01-28,436.4476623535156,457.704746461019,436.2759043475817,451.9515957319999,4023900
2025-01-29,433.49951171875,441.2562536427628,428.7672422777211,438.8805832809662,2396800
2025-01-30,438.5465698242188,438.77557075721865,430.5990291161652,435.6175124996264,1911800
2025-01-31,441.6950988769531,442.9163304839869,436.1613704103482,438.8805273268607,1473800
2025-02-03,434.5108337402344,440.1494690278778,432.7552859393009,437.7356271971685,1476300
2025-02-04,432.8507080078125,434.5012910010735,430.541830973474,433.15602320595207,1234200
2025-02-05,429.2156372070313,436.1137051070749,428.16613440449584,436.018290467488,1139700
2025-02-06,427.9276428222656,431.4100881580651,424.2162547447904,429.339703885861,1291800
2025-02-07,423.98724365234375,430.7707963701121,423.4052347448175,429.244249518709,1347400
2025-02-10,427.6413879394531,428.3283325659781,420.4761766796608,424.3783936843446,1427800
2025-02-11,428.72900390625,431.0569811412824,424.5691938702967,427.336043467733,906100
2025-02-12,421.6783447265625,428.51916963667776,420.80057080918857,426.7254792394276,1282800
2025-02-13,414.7611999511719,424.8554397235727,412.1756292283861,422.18400456163096,2400000
2025-02-14,403.7605590820313,415.1809951915843,400.43080081720274,413.6448981578526,3252800
2025-02-18,408.8649291992188,413.0533608860151,404.05631694413466,409.9621247088332,2812500
2025-02-19,413.0724487304688,417.8905819211039,406.04079507456544,411.2119653150588,2802100
2025-02-20,416.2591247558594,417.8906073305,409.5995790246945,409.8571723418085,1358000
2025-02-21,420.4857177734375,423.3575323343792,415.6675844098687,416.3545290215191,1652400
2025-02-24,420.0563659667969,427.6986211226497,418.405812154295,421.7069488957574,1946200
2025-02-25,427.870361328125,430.93300523724,420.7528719194656,421.4684380281722,1715500
2025-02-26,421.22991943359375,427.4314924263873,419.1690855297057,425.3611083237048,1466900
2025-02-27,425.9621887207031,426.5537187170475,421.1822268724127,421.8882427885064,1458100
2025-02-28,429.6927185058594,430.1029694635103,424.5978907684065,426.4774457768691,1433600
2025-03-03,434.3734130859375,436.7666191549142,431.3842813416078,435.26725760189487,1579400
2025-03-04,431.3746948242188,445.71474867569935,431.0575052624903,433.2585028140476,2268700
2025-03-05,442.5237731933594,445.4648305455588,431.90326223808046,433.59486151619,2060100
2025-03-06,443.561767578125,445.4840287593953,435.7862246196519,443.3887711113413,1395800
2025-03-07,455.2395324707031,458.930270695293,440.1978434674051,440.1978434674051,2168700
2025-03-10,460.5450134277344,474.9908067696711,455.287627291199,456.9791973888894,2284400
2025-03-11,450.6549377441406,460.045173507804,448.4058955734531,458.18057772561895,1456900
2025-03-12,443.561767578125,448.6749893598347,438.2755493296316,447.0602970070983,1271500
2025-03-13,449.7418518066406,450.3185360549559,441.9855205286794,442.16813769616897,1159200
2025-03-14,448.0502624511719,450.77024912966607,444.00388152695945,447.8099798023821,972400
2025-03-17,449.4342956542969,453.9131680677078,444.84009225424217,445.8108436107949,1051600
2025-03-18,451.0393981933594,453.29806112686936,447.3006151514047,449.9244830999804,881600
2025-03-19,452.2600402832031,457.2002661726178,448.6269674013748,452.91363145268696,1122700
2025-03-20,448.5981140136719,451.6352904132916,446.1664546217274,450.9240631122787,922000
2025-03-21,422.6091613769531,462.7844110843283,415.6986296105127,459.5069520260423,7141700
2025-03-24,418.0726013183594,418.8318733780732,407.8077041602954,409.0860242911171,3015400
2025-03-25,424.8870544433594,426.7516503428444,416.1695919783235,419.7930441482602,1600200
2025-03-26,427.8665466308594,433.6621633077784,425.7808802035136,427.01112626876966,1349700
2025-03-27,425.0888671875,430.721108108159,423.1089403741498,428.69310716297446,1559300
2025-03-28,424.3295593261719,428.433605954834,422.474584219755,425.040815949231,1595700
2025-03-31,429.3466491699219,433.52757321491487,423.60869822035824,424.40645305704186,1690000
2025-04-01,431.20166015625,433.7101970228493,427.2033532135149,430.5865224736543,1042400
2025-04-02,435.2672119140625,438.1986778549117,427.7127394461422,428.8756992641258,1270300
2025-04-03,437.10302734375,443.9270613169588,433.27771652169326,435.88240188955393,1813800
2025-04-04,415.35260009765625,437.2471548976936,415.333388044158,432.5087878833032,2392700
2025-04-07,414.07427978515625,421.849822587549,402.5983784168208,405.7893389532073,1968100
2025-04-08,426.1268615722656,433.84476868085903,420.4273639821224,431.0094215929045,2151500
2025-04-09,444.2730407714844,450.12632315397576,418.4570845164542,422.17665559383306,2291600
2025-04-10,445.67626953125,450.8663688884227,432.8740029405468,442.1200745900397,1832600
2025-04-11,456.4409484863281,459.5934559049376,442.4276762490296,446.2817902833792,1452300
2025-04-14,456.8638305664063,460.1412895374989,449.4150681770264,454.4225505511653,1079600
2025-04-15,451.3276977539063,456.86381943902296,449.8091242998968,455.8354026494903,1224300
2025-04-16,458.53619384765625,464.0531036788937,456.085322442744,458.77647650819193,1529700
2025-04-17,446.0414733886719,451.41421922352646,430.9613613458712,443.6963417229653,3052800
2025-04-21,440.5150146484375,445.22457847750655,435.1903717636924,441.4088884787536,1532900
2025-04-22,444.1192626953125,452.4714908576422,425.156172681883,440.2459071323478,2878000
2025-04-23,445.5321350097656,453.0674256913198,439.8614696091244,448.8480477373804,1352700
2025-04-24,448.6654052734375,449.4150860220425,442.2738921905208,447.66582116483744,1105000
2025-04-25,459.0744934082031,459.8625983105784,449.7130602046233,451.72181989940793,1521700
2025-04-28,457.7769470214844,464.9854272353567,455.85468563111846,460.6795511616398,1159700
2025-04-29,457.38287353515625,460.6699240412468,454.95121408352577,457.4789924696097,897100
2025-04-30,459.18017578125,460.00673407512704,452.8174954639686,459.6799531683817,1095000
2025-05-01,459.1513366699219,460.81410325871127,454.6147988150451,457.4981907737029,986400
2025-05-02,454.4225463867188,471.9824216241969,449.33818651451,465.9080690531224,2090500
2025-05-05,453.2308044433594,456.04691044118096,451.097093050676,455.57596576978193,1150200
2025-05-06,450.0110168457031,452.8463642693404,445.4456458176861,451.5103784578676,1135400
2025-05-07,453.0001220703125,456.4409570211844,448.9056959609592,450.1936075607328,1204400
2025-05-08,456.0853576660156,460.3816131414469,453.3942033927311,454.6148288432241,1093100
2025-05-09,455.1145629882813,458.1036944843324,449.8860100417988,456.7965415820223,978800
2025-05-12,454.76861572265625,457.200275274892,447.6754663046852,455.09539664821335,1364500
2025-05-13,441.9566955566406,454.43218200016105,441.2935423904997,454.43218200016105,1859400
2025-05-14,431.720703125,443.8501684935941,427.7608491291262,442.9274911866388,2129700
2025-05-15,447.060302734375,447.31979743787485,437.34325708625227,441.1301140083783,1758700
2025-05-16,450.11669921875,450.280074998658,444.6766963871158,448.0886983572381,1319200
2025-05-19,454.6724853515625,455.9988504069547,449.5977164427017,451.1643641724365,1199700
2025-05-20,457.3251953125,458.5554413776741,452.5868282227685,452.9136091257108,1058500
2025-05-21,452.0005493164063,462.2365855159522,451.77947869371553,462.15008727178144,1435100
2025-05-22,452.1639709472656,454.4898909257717,448.9633891392172,450.56849038999,885000
2025-05-23,450.6549377441406,451.2988788453219,447.46397698994974,449.7706846523437,866700
2025-05-27,458.315185546875,458.315185546875,450.4435226748657,452.5003271447167,1548000
2025-05-28,451.7122192382813,460.3623955821913,450.7703005882026,458.9783650206552,956500
2025-05-29,455.2779846191406,456.11416360020456,447.23332568907057,449.7418626322623,851000
2025-05-30,463.6302490234375,463.6302490234375,452.7502420547621,455.258808527493,2196300
2025-06-02,463.3786315917969,464.2592887181526,458.7140637709151,462.8366932884122,1154200
2025-06-03,464.6850280761719,465.6140608016255,461.1720870891974,463.5527463690426,1032300
2025-06-04,466.6592712402344,471.1593081566347,466.1560512769963,466.4463648070527,1273700
2025-06-05,462.6140747070313,469.4851136844587,456.5365987497388,468.7496133698535,1063100
2025-06-06,466.1560363769531,466.41731854565234,461.5882499384024,462.4011573299978,714400
2025-06-09,465.3237609863281,467.2689502005605,461.249537014644,464.7915096803204,1064100
2025-06-10,461.5204772949219,466.1172948566908,460.3011310349458,464.5205115050759,1150400
2025-06-11,441.8751525878906,449.181661487276,429.1105133773741,449.181661487276,3618200
